11-Dec-14,17:43:32.247 5 **     9c1a sm_debug::write, Index file request: /tasks
11-Dec-14,17:43:32.256 7        9c1a sm_atm::__construct, Starting ATM: atm_tasks, ACP: 
11-Dec-14,17:43:32.257 7        9c1a sm_sess::_open, save_path = C:\MyFiles\WebSites\whatdoido/sessions
11-Dec-14,17:43:32.276 7        9c1a ent_task::getOpenList, Getting open task list: 0, 0, 0, 0
11-Dec-14,17:43:32.277 7        9c1a ent_task::getOpenList, Tasks found: 4
11-Dec-14,17:43:32.278 7        9c1a atm_tasks::outputdebugtasks, Name: Task 1, Calculated deadline: 
11-Dec-14,17:43:32.278 7        9c1a atm_tasks::outputdebugtasks, Name: Task 2, Calculated deadline: 
11-Dec-14,17:43:32.278 7        9c1a atm_tasks::outputdebugtasks, Name: Task 3, Calculated deadline: 
11-Dec-14,17:43:32.279 7        9c1a atm_tasks::outputdebugtasks, Name: Task 4, Calculated deadline: 2011-12-20 00:00:00
11-Dec-14,17:43:32.279 7        9c1a atm_tasks::adjustParentDeadline, Task ID: 1
11-Dec-14,17:43:32.279 7        9c1a atm_tasks::adjustParentDeadline, Task ID: 2
11-Dec-14,17:43:32.280 7        9c1a atm_tasks::adjustParentDeadline, Task ID: 3
11-Dec-14,17:43:32.280 7        9c1a atm_tasks::adjustParentDeadline, Task ID: 4
11-Dec-14,17:43:32.281 7        9c1a ent_dependency::depend_parents, Getting tasks that task 4 depends on.
11-Dec-14,17:43:32.282 7        9c1a ent_dependency::depend_parents, Tasks found: 1
11-Dec-14,17:43:32.282 7        9c1a atm_tasks::adjustParentDeadline, Setting deadline for task (no deadline before): 1, new deadline: 2011-12-19 23:20:00
11-Dec-14,17:43:32.283 7        9c1a atm_tasks::adjustParentDeadline, Task ID: 1
11-Dec-14,17:43:32.283 7        9c1a ent_dependency::depend_parents, Getting tasks that task 1 depends on.
11-Dec-14,17:43:32.284 7        9c1a ent_dependency::depend_parents, Tasks found: 1
11-Dec-14,17:43:32.285 7        9c1a atm_tasks::adjustParentDeadline, Setting deadline for task (no deadline before): 2, new deadline: 2011-12-19 23:00:00
11-Dec-14,17:43:32.285 7        9c1a atm_tasks::adjustParentDeadline, Task ID: 2
11-Dec-14,17:43:32.285 7        9c1a ent_dependency::depend_parents, Getting tasks that task 2 depends on.
11-Dec-14,17:43:32.286 7        9c1a ent_dependency::depend_parents, Tasks found: 0
11-Dec-14,17:43:32.287 7        9c1a atm_tasks::outputdebugtasks, Name: Task 1, Calculated deadline: 2011-12-19 23:20:00
