11-Dec-15,17:49:33.118 5 **     0bbd sm_debug::write, Index file request: /tasks
11-Dec-15,17:49:33.128 7        0bbd sm_atm::__construct, Starting ATM: atm_tasks, ACP: 
11-Dec-15,17:49:33.129 7        0bbd sm_sess::_open, save_path = C:\MyFiles\WebSites\whatdoido/sessions
11-Dec-15,17:49:33.138 7        0bbd ent_task::getOpenList, Getting open task list: 0, 0, 0, 0
11-Dec-15,17:49:33.138 7        0bbd ent_task::getOpenList, Tasks found: 6
11-Dec-15,17:49:33.139 7        0bbd atm_tasks::outputdebugtasks, Name: Task 1, Calculated deadline: 
11-Dec-15,17:49:33.139 7        0bbd atm_tasks::outputdebugtasks, Name: Task 2, Calculated deadline: 
11-Dec-15,17:49:33.139 7        0bbd atm_tasks::outputdebugtasks, Name: Task 3, Calculated deadline: 
11-Dec-15,17:49:33.139 7        0bbd atm_tasks::outputdebugtasks, Name: Task 4, Calculated deadline: 2011-12-20 00:00:00
11-Dec-15,17:49:33.139 7        0bbd atm_tasks::outputdebugtasks, Name: Task 5, Calculated deadline: 2011-12-14 18:45:00
11-Dec-15,17:49:33.140 7        0bbd atm_tasks::outputdebugtasks, Name: Task 6, Calculated deadline: 2011-12-14 19:45:00
11-Dec-15,17:49:33.140 7        0bbd atm_tasks::adjustParentDeadline, Task ID: 1
11-Dec-15,17:49:33.140 7        0bbd atm_tasks::adjustParentDeadline, Task ID: 2
11-Dec-15,17:49:33.140 7        0bbd atm_tasks::adjustParentDeadline, Task ID: 3
11-Dec-15,17:49:33.140 7        0bbd atm_tasks::adjustParentDeadline, Task ID: 4
11-Dec-15,17:49:33.141 7        0bbd ent_dependency::depend_parents, Getting tasks that task 4 depends on.
11-Dec-15,17:49:33.141 7        0bbd ent_dependency::depend_parents, Tasks found: 1
11-Dec-15,17:49:33.142 7        0bbd atm_tasks::adjustParentDeadline, Setting deadline for task (no deadline before): 1, new deadline: 2011-12-19 23:20:00
11-Dec-15,17:49:33.142 7        0bbd atm_tasks::adjustParentDeadline, Task ID: 1
11-Dec-15,17:49:33.142 7        0bbd ent_dependency::depend_parents, Getting tasks that task 1 depends on.
11-Dec-15,17:49:33.143 7        0bbd ent_dependency::depend_parents, Tasks found: 1
11-Dec-15,17:49:33.143 7        0bbd atm_tasks::adjustParentDeadline, Setting deadline for task (no deadline before): 2, new deadline: 2011-12-19 23:00:00
11-Dec-15,17:49:33.143 7        0bbd atm_tasks::adjustParentDeadline, Task ID: 2
11-Dec-15,17:49:33.143 7        0bbd ent_dependency::depend_parents, Getting tasks that task 2 depends on.
11-Dec-15,17:49:33.144 7        0bbd ent_dependency::depend_parents, Tasks found: 0
11-Dec-15,17:49:33.144 7        0bbd atm_tasks::adjustParentDeadline, Task ID: 5
11-Dec-15,17:49:33.144 7        0bbd ent_dependency::depend_parents, Getting tasks that task 5 depends on.
11-Dec-15,17:49:33.144 7        0bbd ent_dependency::depend_parents, Tasks found: 0
11-Dec-15,17:49:33.145 7        0bbd atm_tasks::adjustParentDeadline, Task ID: 6
11-Dec-15,17:49:33.145 7        0bbd ent_dependency::depend_parents, Getting tasks that task 6 depends on.
11-Dec-15,17:49:33.145 7        0bbd ent_dependency::depend_parents, Tasks found: 0
11-Dec-15,17:49:33.145 7        0bbd atm_tasks::outputdebugtasks, Name: Task 1, Calculated deadline: 2011-12-19 23:20:00
11-Dec-15,17:49:33.146 7        0bbd atm_tasks::outputdebugtasks, Name: Task 2, Calculated deadline: 2011-12-19 23:00:00
11-Dec-15,17:49:33.146 7        0bbd atm_tasks::outputdebugtasks, Name: Task 3, Calculated deadline: 
11-Dec-15,17:49:33.146 7        0bbd atm_tasks::outputdebugtasks, Name: Task 4, Calculated deadline: 2011-12-20 00:00:00
11-Dec-15,17:49:33.146 7        0bbd atm_tasks::outputdebugtasks, Name: Task 5, Calculated deadline: 2011-12-14 18:45:00
11-Dec-15,17:49:33.146 7        0bbd atm_tasks::outputdebugtasks, Name: Task 6, Calculated deadline: 2011-12-14 19:45:00
11-Dec-15,17:49:33.147 7        0bbd atm_tasks::insertTaskToSchedule, Inserting task 1
11-Dec-15,17:49:33.147 7        0bbd ent_dependency::depend_parents, Getting tasks that task 1 depends on.
11-Dec-15,17:49:33.147 7        0bbd ent_dependency::depend_parents, Tasks found: 1
11-Dec-15,17:49:33.147 7        0bbd ent_dependency::depend_parents, Getting tasks that task 2 depends on.
11-Dec-15,17:49:33.148 7        0bbd ent_dependency::depend_parents, Tasks found: 0
11-Dec-15,17:49:33.148 7        0bbd atm_tasks::insertTaskToSchedule, Task 1 added at time position 2011-12-15 17:49:33
11-Dec-15,17:49:33.148 7        0bbd atm_tasks::insertTaskToSchedule, Inserting task 2
11-Dec-15,17:49:33.149 7        0bbd ent_dependency::depend_parents, Getting tasks that task 2 depends on.
11-Dec-15,17:49:33.149 7        0bbd ent_dependency::depend_parents, Tasks found: 0
11-Dec-15,17:49:33.149 7        0bbd atm_tasks::insertTaskToSchedule, Task 2 added at time position 2011-12-15 17:49:33
11-Dec-15,17:49:33.149 7        0bbd atm_tasks::insertTaskToSchedule, Inserting task 3
11-Dec-15,17:49:33.150 7        0bbd ent_dependency::depend_parents, Getting tasks that task 3 depends on.
11-Dec-15,17:49:33.150 7        0bbd ent_dependency::depend_parents, Tasks found: 0
11-Dec-15,17:49:33.150 7        0bbd atm_tasks::insertTaskToSchedule, Task 3 added at time position 2011-12-15 17:49:33
11-Dec-15,17:49:33.151 7        0bbd atm_tasks::insertTaskToSchedule, Inserting task 4
11-Dec-15,17:49:33.151 7        0bbd ent_dependency::depend_parents, Getting tasks that task 4 depends on.
11-Dec-15,17:49:33.151 7        0bbd ent_dependency::depend_parents, Tasks found: 1
11-Dec-15,17:49:33.151 7        0bbd ent_dependency::depend_parents, Getting tasks that task 1 depends on.
11-Dec-15,17:49:33.152 7        0bbd ent_dependency::depend_parents, Tasks found: 1
11-Dec-15,17:49:33.152 7        0bbd ent_dependency::depend_parents, Getting tasks that task 2 depends on.
11-Dec-15,17:49:33.152 7        0bbd ent_dependency::depend_parents, Tasks found: 0
11-Dec-15,17:49:33.153 7        0bbd atm_tasks::insertTaskToSchedule, Task 4 added at time position 2011-12-15 19:59:33
11-Dec-15,17:49:33.153 7        0bbd atm_tasks::insertTaskToSchedule, Inserting task 5
