11-Dec-21,18:31:52.339 7        5cde atm_tasks::outputdebugtasks, Name: Dinner, Calculated deadline: 2011-12-29 21:30:00
11-Dec-21,18:31:52.340 7        5cde atm_tasks::outputdebugtasks, Name: Dinner, Calculated deadline: 2011-12-30 21:30:00
11-Dec-21,18:31:52.340 7        5cde atm_tasks::adjustParentDeadline, Task ID: 1
11-Dec-21,18:31:52.340 7        5cde atm_tasks::adjustParentDeadline, Task ID: 2
11-Dec-21,18:31:52.340 7        5cde atm_tasks::adjustParentDeadline, Task ID: 3
11-Dec-21,18:31:52.341 7        5cde atm_tasks::adjustParentDeadline, Task ID: 4
11-Dec-21,18:31:52.341 7        5cde atm_tasks::adjustParentDeadline, Task ID: 5
11-Dec-21,18:31:52.341 7        5cde atm_tasks::adjustParentDeadline, Task ID: 6
11-Dec-21,18:31:52.341 7        5cde atm_tasks::adjustParentDeadline, Task ID: 7
11-Dec-21,18:31:52.342 7        5cde atm_tasks::adjustParentDeadline, Task ID: 8
11-Dec-21,18:31:52.342 7        5cde atm_tasks::adjustParentDeadline, Task ID: 10
11-Dec-21,18:31:52.343 7        5cde ent_dependency::depend_parents, Getting tasks that task 10 depends on.
11-Dec-21,18:31:52.343 7        5cde ent_dependency::depend_parents, Tasks found: 0
11-Dec-21,18:31:52.344 7        5cde atm_tasks::adjustParentDeadline, Task ID: 11
11-Dec-21,18:31:52.344 7        5cde ent_dependency::depend_parents, Getting tasks that task 11 depends on.
11-Dec-21,18:31:52.344 7        5cde ent_dependency::depend_parents, Tasks found: 0
11-Dec-21,18:31:52.345 7        5cde atm_tasks::adjustParentDeadline, Task ID: 12
11-Dec-21,18:31:52.345 7        5cde ent_dependency::depend_parents, Getting tasks that task 12 depends on.
11-Dec-21,18:31:52.345 7        5cde ent_dependency::depend_parents, Tasks found: 0
11-Dec-21,18:31:52.346 7        5cde atm_tasks::adjustParentDeadline, Task ID: 13
11-Dec-21,18:31:52.346 7        5cde ent_dependency::depend_parents, Getting tasks that task 13 depends on.
11-Dec-21,18:31:52.346 7        5cde ent_dependency::depend_parents, Tasks found: 0
11-Dec-21,18:31:52.347 7        5cde atm_tasks::adjustParentDeadline, Task ID: 14
11-Dec-21,18:31:52.347 7        5cde ent_dependency::depend_parents, Getting tasks that task 14 depends on.
11-Dec-21,18:31:52.347 7        5cde ent_dependency::depend_parents, Tasks found: 0
11-Dec-21,18:31:52.348 7        5cde atm_tasks::adjustParentDeadline, Task ID: 15
11-Dec-21,18:31:52.348 7        5cde ent_dependency::depend_parents, Getting tasks that task 15 depends on.
11-Dec-21,18:31:52.348 7        5cde ent_dependency::depend_parents, Tasks found: 0
11-Dec-21,18:31:52.349 7        5cde atm_tasks::adjustParentDeadline, Task ID: 16
11-Dec-21,18:31:52.349 7        5cde ent_dependency::depend_parents, Getting tasks that task 16 depends on.
11-Dec-21,18:31:52.349 7        5cde ent_dependency::depend_parents, Tasks found: 0
11-Dec-21,18:31:52.350 7        5cde atm_tasks::adjustParentDeadline, Task ID: 17
11-Dec-21,18:31:52.350 7        5cde ent_dependency::depend_parents, Getting tasks that task 17 depends on.
11-Dec-21,18:31:52.350 7        5cde ent_dependency::depend_parents, Tasks found: 0
11-Dec-21,18:31:52.351 7        5cde atm_tasks::adjustParentDeadline, Task ID: 18
11-Dec-21,18:31:52.351 7        5cde ent_dependency::depend_parents, Getting tasks that task 18 depends on.
11-Dec-21,18:31:52.351 7        5cde ent_dependency::depend_parents, Tasks found: 0
11-Dec-21,18:31:52.352 7        5cde atm_tasks::adjustParentDeadline, Task ID: 19
11-Dec-21,18:31:52.352 7        5cde ent_dependency::depend_parents, Getting tasks that task 19 depends on.
11-Dec-21,18:31:52.352 7        5cde ent_dependency::depend_parents, Tasks found: 0
11-Dec-21,18:31:52.353 7        5cde atm_tasks::outputdebugtasks, Name: Task 1, Calculated deadline: 
11-Dec-21,18:31:52.353 7        5cde atm_tasks::outputdebugtasks, Name: Task 2, Calculated deadline: 
11-Dec-21,18:31:52.353 7        5cde atm_tasks::outputdebugtasks, Name: Task 3, Calculated deadline: 
11-Dec-21,18:31:52.353 7        5cde atm_tasks::outputdebugtasks, Name: Task 4, Calculated deadline: 
11-Dec-21,18:31:52.354 7        5cde atm_tasks::outputdebugtasks, Name: Task 5, Calculated deadline: 
11-Dec-21,18:31:52.354 7        5cde atm_tasks::outputdebugtasks, Name: Task 6, Calculated deadline: 
11-Dec-21,18:31:52.354 7        5cde atm_tasks::outputdebugtasks, Name: Task 7, Calculated deadline: 
11-Dec-21,18:31:52.354 7        5cde atm_tasks::outputdebugtasks, Name: Task 8, Calculated deadline: 
11-Dec-21,18:31:52.354 7        5cde atm_tasks::outputdebugtasks, Name: Dinner, Calculated deadline: 2011-12-21 21:30:00
11-Dec-21,18:31:52.355 7        5cde atm_tasks::outputdebugtasks, Name: Dinner, Calculated deadline: 2011-12-22 21:30:00
11-Dec-21,18:31:52.355 7        5cde atm_tasks::outputdebugtasks, Name: Dinner, Calculated deadline: 2011-12-23 21:30:00
11-Dec-21,18:31:52.355 7        5cde atm_tasks::outputdebugtasks, Name: Dinner, Calculated deadline: 2011-12-24 21:30:00
11-Dec-21,18:31:52.355 7        5cde atm_tasks::outputdebugtasks, Name: Dinner, Calculated deadline: 2011-12-25 21:30:00
11-Dec-21,18:31:52.356 7        5cde atm_tasks::outputdebugtasks, Name: Dinner, Calculated deadline: 2011-12-26 21:30:00
11-Dec-21,18:31:52.356 7        5cde atm_tasks::outputdebugtasks, Name: Dinner, Calculated deadline: 2011-12-27 21:30:00
11-Dec-21,18:31:52.356 7        5cde atm_tasks::outputdebugtasks, Name: Dinner, Calculated deadline: 2011-12-28 21:30:00
11-Dec-21,18:31:52.356 7        5cde atm_tasks::outputdebugtasks, Name: Dinner, Calculated deadline: 2011-12-29 21:30:00
11-Dec-21,18:31:52.357 7        5cde atm_tasks::outputdebugtasks, Name: Dinner, Calculated deadline: 2011-12-30 21:30:00
11-Dec-21,18:31:52.357 7        5cde atm_tasks::insertTaskToSchedule, Inserting task 1
11-Dec-21,18:31:52.357 7        5cde ent_dependency::depend_parents, Getting tasks that task 1 depends on.
11-Dec-21,18:31:52.358 7        5cde ent_dependency::depend_parents, Tasks found: 1
11-Dec-21,18:31:52.358 7        5cde ent_dependency::depend_parents, Getting tasks that task 2 depends on.
11-Dec-21,18:31:52.358 7        5cde ent_dependency::depend_parents, Tasks found: 0
11-Dec-21,18:31:52.359 7        5cde ent_dependency::depend_children, Getting children of 1
11-Dec-21,18:31:52.359 7        5cde ent_dependency::depend_children, Tasks found: 1
11-Dec-21,18:31:52.359 7        5cde ent_dependency::depend_children, Getting children of 4
11-Dec-21,18:31:52.360 7        5cde ent_dependency::depend_children, Tasks found: 0
11-Dec-21,18:31:52.361 7        5cde atm_tasks::insertTaskToSchedule, Skipping all tasks until 
11-Dec-21,18:31:52.361 7        5cde atm_tasks::insertTaskToSchedule, Skipping all parents. Parent count: 1
11-Dec-21,18:31:52.361 7        5cde atm_tasks::insertTaskToSchedule, rightMostParentIdx = -1
11-Dec-21,18:31:52.361 7        5cde atm_tasks::insertTaskToSchedule, rightMostParentIdx = -1
11-Dec-21,18:31:52.362 7        5cde atm_tasks::insertTaskToSchedule, End of all parents: 2011-12-21 18:31:52
11-Dec-21,18:31:52.362 7        5cde atm_tasks::insertTaskToSchedule, Schedule End time: 2011-12-21 18:31:52
11-Dec-21,18:31:52.362 7        5cde atm_tasks::insertTaskToSchedule, Task 1 added at time position 2011-12-21 18:31:52
11-Dec-21,18:31:52.362 7        5cde atm_tasks::calculateActualTimes, Task 1 duration: 1200 s
11-Dec-21,18:31:52.362 7        5cde atm_tasks::calculateActualTimes, Old starttime = 1324510312
11-Dec-21,18:31:52.363 7        5cde atm_tasks::calculateActualTimes, Timeest = 00:20
11-Dec-21,18:31:52.363 7        5cde atm_tasks::calculateActualTimes, New starttime = 1324511512 = 2011-12-21 18:51:52
11-Dec-21,18:31:52.363 7        5cde atm_tasks::calculateActualTimes, Task 1 start time: 18:31:52
11-Dec-21,18:31:52.363 7        5cde atm_tasks::calculateActualTimes, Task 1 end time: 18:51:52
11-Dec-21,18:31:52.363 7        5cde atm_tasks::insertTaskToSchedule, Current schedule for user 1:
11-Dec-21,18:31:52.364 7        5cde atm_tasks::insertTaskToSchedule,   1 start time = 2011-12-21 18:31:52, duration = 00:20
11-Dec-21,18:31:52.364 7        5cde atm_tasks::insertTaskToSchedule, Inserting task 2
11-Dec-21,18:31:52.364 7        5cde ent_dependency::depend_parents, Getting tasks that task 2 depends on.
11-Dec-21,18:31:52.365 7        5cde ent_dependency::depend_parents, Tasks found: 0
11-Dec-21,18:31:52.365 7        5cde ent_dependency::depend_children, Getting children of 2
11-Dec-21,18:31:52.365 7        5cde ent_dependency::depend_children, Tasks found: 1
11-Dec-21,18:31:52.365 7        5cde ent_dependency::depend_children, Getting children of 1
11-Dec-21,18:31:52.366 7        5cde ent_dependency::depend_children, Tasks found: 1
11-Dec-21,18:31:52.366 7        5cde ent_dependency::depend_children, Getting children of 4
11-Dec-21,18:31:52.367 7        5cde ent_dependency::depend_children, Tasks found: 0
11-Dec-21,18:31:52.367 7        5cde atm_tasks::insertTaskToSchedule, Skipping all tasks until 
11-Dec-21,18:31:52.367 7        5cde atm_tasks::insertTaskToSchedule, Skipping all parents. Parent count: 0
11-Dec-21,18:31:52.367 7        5cde atm_tasks::insertTaskToSchedule, rightMostParentIdx = -1
11-Dec-21,18:31:52.368 7        5cde atm_tasks::insertTaskToSchedule, rightMostParentIdx = -1
11-Dec-21,18:31:52.368 7        5cde atm_tasks::insertTaskToSchedule, End of all parents: 2011-12-21 18:31:52
11-Dec-21,18:31:52.368 7        5cde atm_tasks::insertTaskToSchedule, Schedule End time: 2011-12-21 18:31:52
11-Dec-21,18:31:52.368 7        5cde atm_tasks::insertTaskToSchedule, Task 2 added at time position 2011-12-21 18:31:52
11-Dec-21,18:31:52.368 7        5cde atm_tasks::insertTaskToSchedule, Removing task 1
11-Dec-21,18:31:52.369 7        5cde atm_tasks::insertTaskToSchedule, Inserting task 1
11-Dec-21,18:31:52.369 7        5cde ent_dependency::depend_parents, Getting tasks that task 1 depends on.
11-Dec-21,18:31:52.370 7        5cde ent_dependency::depend_parents, Tasks found: 1
11-Dec-21,18:31:52.371 7        5cde ent_dependency::depend_parents, Getting tasks that task 2 depends on.
11-Dec-21,18:31:52.371 7        5cde ent_dependency::depend_parents, Tasks found: 0
11-Dec-21,18:31:52.372 7        5cde ent_dependency::depend_children, Getting children of 1
11-Dec-21,18:31:52.372 7        5cde ent_dependency::depend_children, Tasks found: 1
11-Dec-21,18:31:52.372 7        5cde ent_dependency::depend_children, Getting children of 4
11-Dec-21,18:31:52.373 7        5cde ent_dependency::depend_children, Tasks found: 0
11-Dec-21,18:31:52.373 7        5cde atm_tasks::insertTaskToSchedule, Skipping all tasks until 
11-Dec-21,18:31:52.374 7        5cde atm_tasks::insertTaskToSchedule, Skipping all parents. Parent count: 1
11-Dec-21,18:31:52.374 7        5cde atm_tasks::insertTaskToSchedule, rightMostParentIdx = 0
11-Dec-21,18:31:52.374 7        5cde atm_tasks::insertTaskToSchedule, Skpping task to include parents: 2
11-Dec-21,18:31:52.374 7        5cde atm_tasks::insertTaskToSchedule, Task 2 skipped
11-Dec-21,18:31:52.374 7        5cde atm_tasks::insertTaskToSchedule, rightMostParentIdx = -1
11-Dec-21,18:31:52.375 7        5cde atm_tasks::calculateActualTimes, Task 2 duration: 3000 s
11-Dec-21,18:31:52.375 7        5cde atm_tasks::calculateActualTimes, Old starttime = 1324510312
11-Dec-21,18:31:52.375 7        5cde atm_tasks::calculateActualTimes, Timeest = 00:50
11-Dec-21,18:31:52.375 7        5cde atm_tasks::calculateActualTimes, New starttime = 1324513312 = 2011-12-21 19:21:52
11-Dec-21,18:31:52.375 7        5cde atm_tasks::calculateActualTimes, Task 2 start time: 18:31:52
11-Dec-21,18:31:52.376 7        5cde atm_tasks::calculateActualTimes, Task 2 end time: 19:21:52
11-Dec-21,18:31:52.376 7        5cde atm_tasks::insertTaskToSchedule, End of all parents: 2011-12-21 19:21:52
11-Dec-21,18:31:52.376 7        5cde atm_tasks::insertTaskToSchedule, Schedule End time: 2011-12-21 19:21:52
11-Dec-21,18:31:52.376 7        5cde atm_tasks::insertTaskToSchedule, Task 1 added at time position 2011-12-21 19:21:52
11-Dec-21,18:31:52.377 7        5cde atm_tasks::calculateActualTimes, Task 2 duration: 3000 s
11-Dec-21,18:31:52.377 7        5cde atm_tasks::calculateActualTimes, Old starttime = 1324510312
11-Dec-21,18:31:52.377 7        5cde atm_tasks::calculateActualTimes, Timeest = 00:50
11-Dec-21,18:31:52.377 7        5cde atm_tasks::calculateActualTimes, New starttime = 1324513312 = 2011-12-21 19:21:52
11-Dec-21,18:31:52.377 7        5cde atm_tasks::calculateActualTimes, Task 2 start time: 18:31:52
11-Dec-21,18:31:52.378 7        5cde atm_tasks::calculateActualTimes, Task 2 end time: 19:21:52
11-Dec-21,18:31:52.378 7        5cde atm_tasks::calculateActualTimes, Task 1 duration: 1200 s
11-Dec-21,18:31:52.378 7        5cde atm_tasks::calculateActualTimes, Old starttime = 1324513312
11-Dec-21,18:31:52.378 7        5cde atm_tasks::calculateActualTimes, Timeest = 00:20
11-Dec-21,18:31:52.378 7        5cde atm_tasks::calculateActualTimes, New starttime = 1324514512 = 2011-12-21 19:41:52
11-Dec-21,18:31:52.379 7        5cde atm_tasks::calculateActualTimes, Task 1 start time: 19:21:52
11-Dec-21,18:31:52.379 7        5cde atm_tasks::calculateActualTimes, Task 1 end time: 19:41:52
11-Dec-21,18:31:52.379 7        5cde atm_tasks::insertTaskToSchedule, Current schedule for user 1:
11-Dec-21,18:31:52.379 7        5cde atm_tasks::insertTaskToSchedule,   2 start time = 2011-12-21 18:31:52, duration = 00:50
11-Dec-21,18:31:52.379 7        5cde atm_tasks::insertTaskToSchedule,   1 start time = 2011-12-21 19:21:52, duration = 00:20
11-Dec-21,18:31:52.380 7        5cde atm_tasks::calculateActualTimes, Task 2 duration: 3000 s
11-Dec-21,18:31:52.380 7        5cde atm_tasks::calculateActualTimes, Old starttime = 1324510312
11-Dec-21,18:31:52.380 7        5cde atm_tasks::calculateActualTimes, Timeest = 00:50
11-Dec-21,18:31:52.380 7        5cde atm_tasks::calculateActualTimes, New starttime = 1324513312 = 2011-12-21 19:21:52
